429,Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
609,209,18/3/2020,6:00 PM,West Bengal,1,0,0,0,1
340,171,16/3/2020,6:00 PM,Rajasthan,2,2,3,0,4
488,19,17/2/2020,6:00 PM,Kerala,3,0,0,0,3
784,193,18/3/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1
189,292,22/3/2020,6:00 PM,Uttarakhand,3,0,0,0,3
262,388,26/3/2020,6:00 PM,Tamil Nadu,20,6,1,1,26
152,115,12/3/2020,6:00 PM,Uttar Pradesh,10,1,0,0,11
115,43,4/3/2020,6:00 PM,Delhi,1,0,0,0,1
772,287,22/3/2020,6:00 PM,Telengana,11,11,1,0,22
639,393,27/3/2020,10:00 AM,Andaman and Nicobar Islands,1,0,0,0,1
411,57,6/3/2020,6:00 PM,Telengana,1,0,0,0,1
424,260,21/3/2020,6:00 PM,Puducherry,1,0,0,0,1
622,32,1/3/2020,6:00 PM,Kerala,3,0,0,0,3
800,259,21/3/2020,6:00 PM,Odisha,2,0,0,0,2
915,110,12/3/2020,6:00 PM,Delhi,6,0,0,0,6
657,101,11/3/2020,6:00 PM,Kerala,17,0,3,0,17
307,262,21/3/2020,6:00 PM,Rajasthan,15,2,3,0,17
995,130,13/3/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
929,380,26/3/2020,6:00 PM,Madhya Pradesh,20,0,0,1,20
390,403,27/3/2020,10:00 AM,Jammu and Kashmir,13,0,1,1,13
233,197,18/3/2020,6:00 PM,Kerala,25,2,3,0,27
847,28,26/2/2020,6:00 PM,Kerala,3,0,0,0,3
551,172,16/3/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
405,405,27/3/2020,10:00 AM,Kerala,129,8,11,0,137
94,68,8/3/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
255,408,27/3/2020,10:00 AM,Maharashtra,127,3,15,4,130
948,158,15/3/2020,6:00 PM,Telengana,3,0,1,0,3
141,315,23/3/2020,6:00 PM,Uttarakhand,3,0,0,0,3
763,281,22/3/2020,6:00 PM,Maharashtra,64,3,0,2,67
813,391,26/3/2020,6:00 PM,Uttar Pradesh,40,1,11,0,41
799,223,19/3/2020,6:00 PM,Chandigarh,1,0,0,0,1
13,310,23/3/2020,6:00 PM,Telengana,22,10,1,0,32
904,222,19/3/2020,6:00 PM,Telengana,4,2,1,0,6
321,429,28/3/2020,6:00 PM,Himachal Pradesh,3,0,0,1,3
918,100,11/3/2020,6:00 PM,Haryana,0,14,0,0,14
500,446,28/3/2020,6:00 PM,West Bengal,15,0,0,1,15
345,14,12/2/2020,6:00 PM,Kerala,3,0,0,0,3
896,185,17/3/2020,6:00 PM,Punjab,1,0,0,0,1
117,361,25/3/2020,6:00 PM,Jammu and Kashmir,7,0,1,0,7
567,1,30/1/2020,6:00 PM,Kerala,1,0,0,0,1
346,394,27/3/2020,10:00 AM,Andhra Pradesh,12,0,1,0,12
202,285,22/3/2020,6:00 PM,Rajasthan,22,2,3,0,24
20,93,10/3/2020,6:00 PM,Punjab,1,0,0,0,1
300,55,6/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
138,375,26/3/2020,6:00 PM,Himachal Pradesh,3,0,0,1,3
794,427,28/3/2020,6:00 PM,Gujarat,44,1,0,3,45
208,75,9/3/2020,6:00 PM,Karnataka,1,0,0,0,1
313,201,18/3/2020,6:00 PM,Punjab,1,0,0,0,1
746,127,13/3/2020,6:00 PM,Telengana,1,0,0,0,1
856,213,19/3/2020,6:00 PM,Haryana,3,14,0,0,17
826,275,22/3/2020,6:00 PM,Gujarat,18,0,0,1,18
471,63,7/3/2020,6:00 PM,Delhi,3,0,0,0,3
511,330,24/3/2020,6:00 PM,Puducherry,1,0,0,0,1
351,210,19/3/2020,6:00 PM,Andhra Pradesh,2,0,0,0,2
411,369,26/3/2020,6:00 PM,Chandigarh,7,0,0,0,7
795,12,10/2/2020,6:00 PM,Kerala,3,0,0,0,3
896,107,11/3/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
262,173,16/3/2020,6:00 PM,Telengana,3,0,1,0,3
989,416,27/3/2020,10:00 AM,Telengana,35,10,1,0,45
574,179,17/3/2020,6:00 PM,Delhi,8,0,2,1,8
275,340,24/3/2020,6:00 PM,West Bengal,9,0,0,1,9
827,5,3/2/2020,6:00 PM,Kerala,3,0,0,0,3
237,163,16/3/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1
709,58,7/3/2020,6:00 PM,Kerala,3,0,3,0,3
46,406,27/3/2020,10:00 AM,Ladakh,13,0,3,0,13
757,136,14/3/2020,6:00 PM,Delhi,7,0,1,1,7
795,390,26/3/2020,6:00 PM,Uttarakhand,4,1,0,0,5
806,186,17/3/2020,6:00 PM,Rajasthan,2,2,3,0,4
457,334,24/3/2020,6:00 PM,Telengana,25,10,1,0,35
66,184,17/3/2020,6:00 PM,Odisha,1,0,0,0,1
809,181,17/3/2020,6:00 PM,Karnataka,11,0,0,1,11
204,250,21/3/2020,6:00 PM,Chhattisgarh,1,0,0,0,1
480,284,22/3/2020,6:00 PM,Punjab,21,0,0,1,21
274,378,26/3/2020,6:00 PM,Kerala,110,8,6,0,118
441,329,24/3/2020,6:00 PM,Odisha,2,0,0,0,2
435,99,11/3/2020,6:00 PM,Delhi,5,0,0,0,5
812,326,24/3/2020,6:00 PM,Madhya Pradesh,7,0,0,0,7
259,226,19/3/2020,6:00 PM,Uttar Pradesh,18,1,9,0,19
160,324,24/3/2020,6:00 PM,Karnataka,37,0,3,1,37
818,4,2/2/2020,6:00 PM,Kerala,3,0,0,0,3
629,25,23/2/2020,6:00 PM,Kerala,3,0,0,0,3
800,108,11/3/2020,6:00 PM,Punjab,1,0,0,0,1
716,358,25/3/2020,6:00 PM,Tamil Nadu,16,2,1,0,18
